"","user_id","status_id","created_at","screen_name","text","source","lon","lat","Full Address","statename"
"2999","16809344","1104135540809584646",2019-03-08 21:43:21,"kray4cy","Omg no. I need to be done with the flu. Twice is enough!! https://t.co/ZH3hEw6Pnt","TweetDeck",-94.5785667,39.0997265,"1200 Oak St, Kansas City, MO 64106, USA","Missouri"
"3000","1005140895967170560","1104135355622703105",2019-03-08 21:42:37,"iburr17o","@heartsncontrols I had the flu last week, I doubt I looked this good. Nice sicko picture lol","Twitter for iPhone",-85.6023643,44.3148443,"Boon Township, MI, USA","Michigan"
"3002","803421817662738432","1104134883746697222",2019-03-08 21:40:44,"Emily_47616","@Aionosbae @alexaiono I was cryinggggggggg I couldn’t stop laughing I think this cures my flu","Twitter for iPhone",-78.6568942,37.4315734,"Woolridge Rd, Dillwyn, VA 23936, USA","Virginia"
"3003","214197305","1104134829191450624",2019-03-08 21:40:31,"Flu_Wizzle","@RbNChubbz 😲","Twitter for iPhone",-81.9498042,28.0394654,"801 E Walnut St, Lakeland, FL 33801, USA","Florida"
"3004","214197305","1104097958331588610",2019-03-08 19:14:01,"Flu_Wizzle","Piece of ABSOLUTE SHIT https://t.co/Ee33nawZIZ","Twitter for iPhone",-81.9498042,28.0394654,"801 E Walnut St, Lakeland, FL 33801, USA","Florida"
"3005","2265216138","1104134667324850177",2019-03-08 21:39:53,"MasonDabbins","@mattealan flu gang we in here","Twitter Web Client",-105.1019275,40.1672068,"565 5th Ave, Longmont, CO 80501, USA","Colorado"
"3006","1692405098","1104134570394439682",2019-03-08 21:39:30,"Ikrshor","Today’s my birthday and I have the flu. The first thing my friend says to me is atleast it’s not next weekend when we see @thedriverera 😂💕","Twitter for iPhone",-76.6412712,39.0457549,"1175-1177 Goldfinch Ln, Millersville, MD 21108, USA","Maryland"
"3007","70677953","1104134555320107014",2019-03-08 21:39:26,"NBC6News","NASTIER STRAIN: For the last two weeks, more illnesses have been tied to a strain that tends to cause more deaths.  https://t.co/Gn2Jb1eUDO","SocialNewsDesk",-93.7501789,32.5251516,"104 Lafayette St, Shreveport, LA 71107, USA","Louisiana"
"3008","254348244","1104074707899420672",2019-03-08 17:41:37,"TheLizzieAnn","New post on my blog: Popular Actually Natural Remedies For The Cold &amp; Flu https://t.co/iDN1EP5iWC","IFTTT",-89.0317765,42.5083482,"1035 Pleasant St, Beloit, WI 53511, USA","Wisconsin"
"3009","254348244","1104134532733829120",2019-03-08 21:39:21,"TheLizzieAnn","Popular Actually Natural Remedies For The Cold &amp; Flu https://t.co/IC7CIKl59O #Tea #SelfCare #NaturalHealth https://t.co/BqW3xmaQsz","Missinglettr",-89.0317765,42.5083482,"1035 Pleasant St, Beloit, WI 53511, USA","Wisconsin"
"3010","321160730","1104134282526773249",2019-03-08 21:38:21,"ladyqueenzina","US Government Approves Experiment to Create a Type of Bird Flu that Could ‘kill millions of people’
National Institutes of Health will allow viral engineering despite fears https://t.co/ZDLNfT5jM1","Facebook",-73.9593998,40.6414876,"1911 Dorchester Rd, Brooklyn, NY 11226, USA","New York"
"3011","720344739002900480","1104134059171737606",2019-03-08 21:37:28,"KimBledsoe14","@Bethenny There are so many opinions and advice. I would listen to your gastronologist. My mother has this. Bone Broth is so good for your stomach. It is so high in nutrients and amino acids. When her stomach upsets her she sips this. Paleo recommends it for flu.","Twitter for Android",-82.6402915,27.7676008,"341 5th St S, St. Petersburg, FL 33701, USA","Florida"
